L1	L2	L3	L4	KO
01_Fermentation	Heterolactic fermentation			K00872
01_Fermentation	Heterolactic fermentation			K05715
01_Fermentation	Heterolactic fermentation			K14074
01_Fermentation	Heterolactic fermentation			K08302
01_Fermentation	Heterolactic fermentation			K13830
01_Fermentation	Heterolactic fermentation			K01776
01_Fermentation	Heterolactic fermentation			K01805
01_Fermentation	Heterolactic fermentation			K01825
01_Fermentation	Heterolactic fermentation			K00232
01_Fermentation	Lysine fermentation to acetate and butyrate			K00640
01_Fermentation	Lysine fermentation to acetate and butyrate			K00625
01_Fermentation	Lysine fermentation to acetate and butyrate			K13598
01_Fermentation	Lysine fermentation to acetate and butyrate			K01039
01_Fermentation	Lysine fermentation to acetate and butyrate			K03431
01_Fermentation	Lysine fermentation to acetate and butyrate			K01835
01_Fermentation	Lysine fermentation to acetate and butyrate			K00001
01_Fermentation	Mixed acid fermentation			K03777
01_Fermentation	Mixed acid fermentation			K00024
01_Fermentation	Mixed acid fermentation			K00121
01_Fermentation	Mixed acid fermentation			K03778
01_Fermentation	Mixed acid fermentation			K00025
01_Fermentation	Mixed acid fermentation			K00026
01_Fermentation	Mixed acid fermentation			K11440
01_Fermentation	Mixed acid fermentation			K13951
01_Fermentation	Mixed acid fermentation			K13952
01_Fermentation	Mixed acid fermentation			K13953
01_Fermentation	Mixed acid fermentation			K13954
01_Fermentation	Mixed acid fermentation			K13980
01_Fermentation	Mixed acid fermentation			K00031
01_Fermentation	Mixed acid fermentation			K00132
01_Fermentation	Mixed acid fermentation			K04072
01_Fermentation	Mixed acid fermentation			K04073
01_Fermentation	Mixed acid fermentation			K02203
01_Fermentation	Mixed acid fermentation			K02472
01_Fermentation	Mixed acid fermentation			K02474
01_Fermentation	Mixed acid fermentation			K05556
01_Fermentation	Mixed acid fermentation			K06607
01_Fermentation	Mixed acid fermentation			K07535
01_Fermentation	Mixed acid fermentation			K07538
01_Fermentation	Mixed acid fermentation			K08322
01_Fermentation	Mixed acid fermentation			K10251
01_Fermentation	Mixed acid fermentation			K10978
01_Fermentation	Mixed acid fermentation			K11150
01_Fermentation	Mixed acid fermentation			K11151
01_Fermentation	Mixed acid fermentation			K11152
01_Fermentation	Mixed acid fermentation			K11153
01_Fermentation	Mixed acid fermentation			K11154
01_Fermentation	Mixed acid fermentation			K11161
01_Fermentation	Mixed acid fermentation			K11162
01_Fermentation	Mixed acid fermentation			K11539
01_Fermentation	Mixed acid fermentation			K12420
01_Fermentation	Mixed acid fermentation			K12451
01_Fermentation	Mixed acid fermentation			K13015
01_Fermentation	Mixed acid fermentation			K13016
01_Fermentation	Mixed acid fermentation			K13020
01_Fermentation	Mixed acid fermentation			K13548
01_Fermentation	Mixed acid fermentation			K13574
01_Fermentation	Mixed acid fermentation			K14248
01_Fermentation	Mixed acid fermentation			K14465
01_Fermentation	Mixed acid fermentation			K14633
01_Fermentation	Mixed acid fermentation			K13767
01_Fermentation	Mixed acid fermentation			K06001
01_Fermentation	Mixed acid fermentation			K06001
01_Fermentation	Mixed acid fermentation			K01089
01_Fermentation	Mixed acid fermentation			K01693
01_Fermentation	Mixed acid fermentation			K00634
01_Fermentation	Mixed acid fermentation			K00640
01_Fermentation	Mixed acid fermentation			K00872
01_Fermentation	Mixed acid fermentation			K13598
01_Fermentation	Mixed acid fermentation			K01593
01_Fermentation	Mixed acid fermentation			K10527
01_Fermentation	Mixed acid fermentation			K01696
01_Fermentation	Mixed acid fermentation			K01696
01_Fermentation	Mixed acid fermentation			K00061
01_Fermentation	Pyruvate fermentation to butanol			K00061
01_Fermentation	Pyruvate fermentation to butanol			K02472
01_Fermentation	Pyruvate fermentation to butanol			K02474
01_Fermentation	Pyruvate fermentation to butanol			K05556
01_Fermentation	Pyruvate fermentation to butanol			K06607
01_Fermentation	Pyruvate fermentation to butanol			K07535
01_Fermentation	Pyruvate fermentation to butanol			K07538
01_Fermentation	Pyruvate fermentation to butanol			K08322
01_Fermentation	Pyruvate fermentation to butanol			K10251
01_Fermentation	Pyruvate fermentation to butanol			K10978
01_Fermentation	Pyruvate fermentation to butanol			K11150
01_Fermentation	Pyruvate fermentation to butanol			K11151
01_Fermentation	Pyruvate fermentation to butanol			K11152
01_Fermentation	Pyruvate fermentation to butanol			K11153
01_Fermentation	Pyruvate fermentation to butanol			K11154
01_Fermentation	Pyruvate fermentation to butanol			K11161
01_Fermentation	Pyruvate fermentation to butanol			K11162
01_Fermentation	Pyruvate fermentation to butanol			K11539
01_Fermentation	Pyruvate fermentation to butanol			K12420
01_Fermentation	Pyruvate fermentation to butanol			K12451
01_Fermentation	Pyruvate fermentation to butanol			K13015
01_Fermentation	Pyruvate fermentation to butanol			K13016
01_Fermentation	Pyruvate fermentation to butanol			K13020
01_Fermentation	Pyruvate fermentation to butanol			K13548
01_Fermentation	Pyruvate fermentation to butanol			K13574
01_Fermentation	Pyruvate fermentation to butanol			K14248
01_Fermentation	Pyruvate fermentation to butanol			K14465
01_Fermentation	Pyruvate fermentation to butanol			K14633
01_Fermentation	Pyruvate fermentation to butanol			K01782
01_Fermentation	Pyruvate fermentation to butanol			K01825
01_Fermentation	Pyruvate fermentation to butanol			K07514
01_Fermentation	Pyruvate fermentation to butanol			K07516
01_Fermentation	Pyruvate fermentation to butanol			K07547
01_Fermentation	Pyruvate fermentation to butanol			K07548
01_Fermentation	Pyruvate fermentation to butanol			K08683
01_Fermentation	Pyruvate fermentation to butanol			K00170
01_Fermentation	Pyruvate fermentation to butanol			K00171
01_Fermentation	Pyruvate fermentation to butanol			K08074
01_Fermentation	Pyruvate fermentation to butanol			K13497
01_Fermentation	Pyruvate fermentation to butanol			K13501
01_Fermentation	Pyruvate fermentation to butanol			K13503
01_Fermentation	Pyruvate fermentation to butanol			K02372
01_Fermentation	Pyruvate fermentation to butanol			K02509
01_Fermentation	Pyruvate fermentation to butanol			K05554
01_Fermentation	Pyruvate fermentation to butanol			K07534
01_Fermentation	Pyruvate fermentation to butanol			K07546
01_Fermentation	Pyruvate fermentation to butanol			K08299
01_Fermentation	Pyruvate fermentation to butanol			K09483
01_Fermentation	Pyruvate fermentation to butanol			K10703
01_Fermentation	Pyruvate fermentation to butanol			K11336
01_Fermentation	Pyruvate fermentation to butanol			K10527
01_Fermentation	Pyruvate fermentation to butanol			K12405
01_Fermentation	Pyruvate fermentation to butanol			K00169
01_Fermentation	Pyruvate fermentation to butanol			K00022
01_Fermentation	Pyruvate fermentation to butanol			K14085
01_Fermentation	Pyruvate fermentation to butanol			K00232
01_Fermentation	Pyruvate fermentation to butanol			K00625
01_Fermentation	Pyruvate fermentation to butanol			K01658
01_Fermentation	Pyruvate fermentation to butanol			K00918
01_Fermentation	Homolactic fermentation			K01805
01_Fermentation	Homolactic fermentation			K11725
01_Fermentation	Homolactic fermentation			K01807
01_Fermentation	Homolactic fermentation			K12977
01_Fermentation	Homolactic fermentation			K01808
01_Fermentation	Homolactic fermentation			K12978
01_Fermentation	Homolactic fermentation			K13555
01_Fermentation	Homolactic fermentation			K01622
01_Fermentation	Homolactic fermentation			K11645
01_Fermentation	Homolactic fermentation			K11946
01_Fermentation	Homolactic fermentation			K00844
01_Fermentation	Homolactic fermentation			K11395
01_Fermentation	Homolactic fermentation			K10705
01_Fermentation	Homolactic fermentation			K07514
01_Fermentation	Homolactic fermentation			K02203
01_Fermentation	Homolactic fermentation			K08679
01_Fermentation	Homolactic fermentation			K00134
01_Fermentation	Homolactic fermentation			K05715
01_Fermentation	Homolactic fermentation			K01825
01_Fermentation	Homolactic fermentation			K13830
01_Fermentation	Homolactic fermentation			K00963
01_Fermentation	Homolactic fermentation			K00872
01_Fermentation	Homolactic fermentation			K00016
01_Fermentation	Homolactic fermentation			K00043
01_Fermentation	Succinate fermentation to butyrate			K15038
01_Fermentation	Succinate fermentation to butyrate			K00232
01_Fermentation	Succinate fermentation to butyrate			K14472
01_Fermentation	Succinate fermentation to butyrate			K13832
01_Fermentation	Succinate fermentation to butyrate			K01026
01_Fermentation	Succinate fermentation to butyrate			K01809
01_Fermentation	Succinate fermentation to butyrate			K00023
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K00232
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K00625
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K14472
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K01026
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K01713
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K03366
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K00004
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis I		K13043
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis I		K00615
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis I		K00616
01_Fermentation	Acetoin biosynthesis	(R)-acetoin biosynthesis II		K01656
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K13043
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K00615
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K00616
01_Fermentation	Acetoin biosynthesis	(s)-acetoin biosynthesis		K13982
01_Fermentation	Acetoin biosynthesis	Acetoin biosynthesis III		K00004
01_Fermentation	Acetoin biosynthesis	Acetoin biosynthesis III		K03366
01_Fermentation	Acetoin biosynthesis	(s,s)-butanediol biosynthesis		K00004
01_Fermentation	Acetoin biosynthesis	(s,s)-butanediol biosynthesis		K03366
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis I		K00004
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis I		K03366
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis II		K13043
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis II		K00615
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis II		K00616
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00004
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K01656
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K03366
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00616
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K00615
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K13043
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K01656
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00004
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K03366
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00169
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00170
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00171
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K00004
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K01905
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K00822
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K00823
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and alanine		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00145
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K08324
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K09472
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K11947
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K12254
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K13356
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00138
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate I		K00016
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate and lactate II		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00145
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K08324
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K09472
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K11947
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K12254
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K13356
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate I		K00138
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate II		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate III		K01905
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate III		K00634
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00145
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K08324
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K09472
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K11947
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K12254
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K13356
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate IV		K00138
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K01899
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K01900
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K01902
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K01903
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate V		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K01899
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K01900
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K01902
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K01903
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VI		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K00640
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K13598
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VII		K00146
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K13982
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetate VIII		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K00625
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01001
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01006
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01007
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01039
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01573
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01782
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K01825
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K07514
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K07516
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K07547
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K07548
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K08683
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K10527
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K12405
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to acetone		K00022
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K14085
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00171
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00232
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00190
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00625
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00928
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K01658
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13497
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13501
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13503
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K02372
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K02509
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K05554
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K07534
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K07546
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K08299
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K09483
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K10703
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K11336
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00121
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K04072
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K11440
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13951
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13952
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13953
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13954
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K13980
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to butanoate		K00001
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00132
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K04073
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00634
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00121
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K04072
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K11440
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K13951
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K13952
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K13953
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K13954
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K13980
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol I		K00001
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13982
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00121
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K04072
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K11440
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13951
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13952
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13953
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13954
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K13980
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol II		K00001
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00132
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00169
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K04072
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K04073
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00170
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to ethanol III		K00171
