gene	accession	hmmsource
K00368_1.7.2.1	HMMsoil9568	FOAM_DB
K00261_1.4.1.3	HMMsoil9657	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil9688	FOAM_DB
K02305_1.7.99.7	HMMsoil9587	FOAM_DB
K00362_1.7.1.4	HMMsoil9828	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil9949	FOAM_DB
K02591_1.18.6.1	HMMsoil9864	FOAM_DB
K00260_1.4.1.2	HMMsoil9915	FOAM_DB
K00372_1.7.99.4	HMMsoil10085	FOAM_DB
K00373	HMMsoil10049	FOAM_DB
K00372_1.7.99.4	HMMsoil10208	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil10211	FOAM_DB
K00372_1.7.99.4	HMMsoil10290	FOAM_DB
K00373	HMMsoil10340	FOAM_DB
K04014	HMMsoil10341	FOAM_DB
K00360_1.7.1.1	HMMsoil10376	FOAM_DB
K00372_1.7.99.4	HMMsoil10377	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil10483	FOAM_DB
K00362_1.7.1.4	HMMsoil10488	FOAM_DB
K00366_1.7.7.1	HMMsoil10411	FOAM_DB
K00362_1.7.1.4	HMMsoil10546	FOAM_DB
K04014	HMMsoil10560	FOAM_DB
K00374_1.7.99.4	HMMsoil10561	FOAM_DB
K00362_1.7.1.4	HMMsoil10610	FOAM_DB
K00362_1.7.1.4	HMMsoil10613	FOAM_DB
K00366_1.7.7.1	HMMsoil10750	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil10675	FOAM_DB
K00368,K02275_1.7.2.1,1.9.3.1	HMMsoil10829	FOAM_DB
K00371_1.7.99.4	HMMsoil10832	FOAM_DB
K00376_1.7.2.4	HMMsoil10854	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil10920	FOAM_DB
K00372_1.7.99.4	HMMsoil11082	FOAM_DB
K10534_1.7.1.3	HMMsoil11107	FOAM_DB
K04014	HMMsoil11184	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil11185	FOAM_DB
K00362_1.7.1.4	HMMsoil11187	FOAM_DB
K00366_1.7.7.1	HMMsoil11327	FOAM_DB
K00362_1.7.1.4	HMMsoil11328	FOAM_DB
K00362_1.7.1.4	HMMsoil11342	FOAM_DB
K00371_1.7.99.4	HMMsoil11392	FOAM_DB
K00368_1.7.2.1	HMMsoil11399	FOAM_DB
K00366_1.7.7.1	HMMsoil11296	FOAM_DB
K00372_1.7.99.4	HMMsoil11350	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil11370	FOAM_DB
K00362_1.7.1.4	HMMsoil11458	FOAM_DB
K00362_1.7.1.4	HMMsoil11606	FOAM_DB
K00284_1.4.7.1	HMMsoil11637	FOAM_DB
K04014	HMMsoil11642	FOAM_DB
K00362_1.7.1.4	HMMsoil11657	FOAM_DB
K00362_1.7.1.4	HMMsoil11665	FOAM_DB
K00362,K00363_1.7.1.4	HMMsoil11692	FOAM_DB
K00372_1.7.99.4	HMMsoil11697	FOAM_DB
K10534_1.7.1.3	HMMsoil11836	FOAM_DB
K00360_1.7.1.1	HMMsoil11913	FOAM_DB
K10534_1.7.1.3	HMMsoil12161	FOAM_DB
K00362_1.7.1.4	HMMsoil12174	FOAM_DB
K00363_1.7.1.4	HMMsoil12222	FOAM_DB
K00370_1.7.99.4	HMMsoil12107	FOAM_DB
K00360,K00507_1.7.1.1,1.14.19.1	HMMsoil12111	FOAM_DB
K00362_1.7.1.4	HMMsoil12125	FOAM_DB
