gene	accession	hmmsource
KO:K01692_4.2.1.17	HMMsoil150	FOAM_DB
KO:K02032	HMMsoil151	FOAM_DB
KO:K00756_2.4.2.2	HMMsoil153	FOAM_DB
KO:K01744_4.3.1.1	HMMsoil154	FOAM_DB
KO:K08805_2.7.11.1	HMMsoil155	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil156	FOAM_DB
KO:K01658_4.1.3.27	HMMsoil157	FOAM_DB
KO:K02482_2.7.13.3	HMMsoil159	FOAM_DB
KO:K07700_2.7.13.3	HMMsoil162	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil164	FOAM_DB
KO:K08963_5.3.1.23	HMMsoil165	FOAM_DB
KO:K00106_1.17.1.4,1.17.3.2	HMMsoil166	FOAM_DB
KO:K01515_3.6.1.13	HMMsoil167	FOAM_DB
KO:K01652_2.2.1.6	HMMsoil168	FOAM_DB
KO:K08884_2.7.11.1	HMMsoil169	FOAM_DB
KO:K02484,KO:K07645_2.7.13.3	HMMsoil175	FOAM_DB
KO:K00384_1.8.1.9	HMMsoil176	FOAM_DB
KO:K02668_2.7.13.3	HMMsoil177	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil178	FOAM_DB
KO:K12972_1.1.1.79,1.1.1.81	HMMsoil179	FOAM_DB
KO:K07678_2.7.13.3	HMMsoil180	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil181	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil183	FOAM_DB
KO:K02218_2.7.11.1	HMMsoil184	FOAM_DB
KO:K01081_3.1.3.5	HMMsoil188	FOAM_DB
KO:K00124	HMMsoil189	FOAM_DB
KO:K07678_2.7.13.3	HMMsoil191	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil192	FOAM_DB
KO:K02001	HMMsoil193	FOAM_DB
KO:K00756_2.4.2.2	HMMsoil194	FOAM_DB
KO:K11527_2.7.13.3	HMMsoil195	FOAM_DB
KO:K01692_4.2.1.17	HMMsoil197	FOAM_DB
KO:K00529_1.18.1.3	HMMsoil198	FOAM_DB
KO:K03781_1.11.1.6	HMMsoil199	FOAM_DB
KO:K01176_3.2.1.1	HMMsoil201	FOAM_DB
KO:K12647_3.6.4.13	HMMsoil202	FOAM_DB
KO:K01182_3.2.1.10	HMMsoil203	FOAM_DB
KO:K00362_1.7.1.4	HMMsoil204	FOAM_DB
KO:K02778,KO:K02779,KO:K02777_2.7.1.69	HMMsoil205	FOAM_DB
KO:K01182_3.2.1.10	HMMsoil206	FOAM_DB
KO:K02478_2.7.13.3	HMMsoil207	FOAM_DB
KO:K05343_3.2.1.1,5.4.99.16	HMMsoil209	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil210	FOAM_DB
KO:K02053	HMMsoil211	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil212	FOAM_DB
KO:K01768_4.6.1.1	HMMsoil213	FOAM_DB
KO:K00127	HMMsoil214	FOAM_DB
KO:K00844_2.7.1.1	HMMsoil216	FOAM_DB
KO:K01995	HMMsoil217	FOAM_DB
KO:K02768,KO:K08483,KO:K11183_2.7.1.69,2.7.3.9	HMMsoil218	FOAM_DB
KO:K02768,KO:K08483,KO:K11183_2.7.1.69,2.7.3.9	HMMsoil219	FOAM_DB
KO:K00758_2.4.2.4	HMMsoil220	FOAM_DB
KO:K01955_6.3.5.5	HMMsoil221	FOAM_DB
KO:K04460_3.1.3.16	HMMsoil222	FOAM_DB
KO:K00134_1.2.1.12	HMMsoil223	FOAM_DB
KO:K12598_3.6.4.13	HMMsoil224	FOAM_DB
KO:K05710	HMMsoil228	FOAM_DB
KO:K13530_2.1.1.-	HMMsoil230	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil231	FOAM_DB
KO:K05869,KO:K08812_2.7.11.17,2.7.11.-	HMMsoil232	FOAM_DB
KO:K07710_2.7.13.3	HMMsoil233	FOAM_DB
KO:K07678_2.7.13.3	HMMsoil234	FOAM_DB
KO:K02218,KO:K08957,KO:K08960_2.7.11.1	HMMsoil235	FOAM_DB
KO:K13598_2.7.13.3	HMMsoil236	FOAM_DB
KO:K01176_3.2.1.1	HMMsoil237	FOAM_DB
KO:K01179_3.2.1.4	HMMsoil239	FOAM_DB
KO:K01090_3.1.3.16	HMMsoil240	FOAM_DB
KO:K13040_2.7.13.3	HMMsoil243	FOAM_DB
KO:K07718_2.7.13.3	HMMsoil244	FOAM_DB
KO:K07638_2.7.13.3	HMMsoil245	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil246	FOAM_DB
KO:K00326_1.6.2.2	HMMsoil247	FOAM_DB
KO:K00146_1.2.1.39	HMMsoil248	FOAM_DB
KO:K00001_1.1.1.1	HMMsoil249	FOAM_DB
KO:K09817_3.6.3.-	HMMsoil250	FOAM_DB
KO:K02013_3.6.3.34	HMMsoil251	FOAM_DB
KO:K00390_1.8.4.8	HMMsoil253	FOAM_DB
KO:K01677_4.2.1.2	HMMsoil254	FOAM_DB
KO:K00162_1.2.4.1	HMMsoil255	FOAM_DB
KO:K04014	HMMsoil256	FOAM_DB
KO:K00958,KO:K00860,KO:K00955,KO:K00956,KO:K13811_2.7.7.4,2.7.1.25	HMMsoil257	FOAM_DB
KO:K07704,KO:K07718_2.7.13.3	HMMsoil259	FOAM_DB
KO:K02031	HMMsoil260	FOAM_DB
KO:K07709,KO:K02668_2.7.13.3	HMMsoil261	FOAM_DB
KO:K00011_1.1.1.21	HMMsoil262	FOAM_DB
KO:K02844_2.4.1.-	HMMsoil263	FOAM_DB
KO:K00016_1.1.1.27	HMMsoil264	FOAM_DB
KO:K05833	HMMsoil265	FOAM_DB
KO:K09819	HMMsoil266	FOAM_DB
KO:K02761	HMMsoil267	FOAM_DB
KO:K02010_3.6.3.30	HMMsoil268	FOAM_DB
KO:K09687	HMMsoil269	FOAM_DB
KO:K07644_2.7.13.3	HMMsoil441	FOAM_DB
KO:K01692_4.2.1.17	HMMsoil442	FOAM_DB
KO:K03407_2.7.13.3	HMMsoil443	FOAM_DB
KO:K00529_1.18.1.3	HMMsoil444	FOAM_DB
KO:K02774_2.7.1.69	HMMsoil447	FOAM_DB
KO:K00374_1.7.99.4	HMMsoil448	FOAM_DB
KO:K00381_1.8.1.2	HMMsoil451	FOAM_DB
KO:K08832_2.7.11.1	HMMsoil452	FOAM_DB
KO:K02026	HMMsoil379	FOAM_DB
KO:K02031,KO:K02032	HMMsoil380	FOAM_DB
KO:K06861_3.6.3.-	HMMsoil381	FOAM_DB
KO:K05708_1.14.12.19	HMMsoil382	FOAM_DB
KO:K00599	HMMsoil383	FOAM_DB
KO:K00130_1.2.1.8	HMMsoil384	FOAM_DB
KO:K02476,KO:K11637,KO:K11614,KO:K07701_2.7.13.3	HMMsoil385	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil386	FOAM_DB
KO:K07519_1.14.12.7	HMMsoil387	FOAM_DB
KO:K02476_2.7.13.3	HMMsoil388	FOAM_DB
KO:K07646,KO:K02486_2.7.13.3	HMMsoil389	FOAM_DB
KO:K07677_2.7.13.3	HMMsoil390	FOAM_DB
KO:K00492	HMMsoil391	FOAM_DB
KO:K04618_1.1.3.9	HMMsoil392	FOAM_DB
KO:K02760_2.7.1.69	HMMsoil393	FOAM_DB
KO:K02476_2.7.13.3	HMMsoil394	FOAM_DB
KO:K01658_4.1.3.27	HMMsoil395	FOAM_DB
KO:K00567_2.1.1.63	HMMsoil396	FOAM_DB
KO:K00248_1.3.99.2	HMMsoil397	FOAM_DB
KO:K00285_1.4.99.1	HMMsoil398	FOAM_DB
KO:K07710_2.7.13.3	HMMsoil399	FOAM_DB
KO:K02033	HMMsoil400	FOAM_DB
KO:K00599	HMMsoil405	FOAM_DB
KO:K00480_1.14.13.1	HMMsoil406	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil407	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil408	FOAM_DB
KO:K01652_2.2.1.6	HMMsoil409	FOAM_DB
KO:K11711_2.7.13.3	HMMsoil410	FOAM_DB
KO:K03379_1.14.13.22	HMMsoil411	FOAM_DB
KO:K00130_1.2.1.8	HMMsoil414	FOAM_DB
KO:K00155	HMMsoil415	FOAM_DB
KO:K08884_2.7.11.1	HMMsoil416	FOAM_DB
KO:K12771_2.7.11.1	HMMsoil418	FOAM_DB
KO:K01933_6.3.3.1	HMMsoil419	FOAM_DB
KO:K00123_1.2.1.2	HMMsoil420	FOAM_DB
KO:K00517	HMMsoil421	FOAM_DB
KO:K08282_2.7.11.1	HMMsoil422	FOAM_DB
KO:K02218_2.7.11.1	HMMsoil424	FOAM_DB
KO:K03407_2.7.13.3	HMMsoil425	FOAM_DB
KO:K11069	HMMsoil426	FOAM_DB
KO:K01485_3.5.4.1	HMMsoil427	FOAM_DB
KO:K02034	HMMsoil428	FOAM_DB
KO:K02010_3.6.3.30	HMMsoil429	FOAM_DB
KO:K08137	HMMsoil430	FOAM_DB
KO:K03047_2.7.7.6	HMMsoil431	FOAM_DB
KO:K06281_1.12.99.6	HMMsoil434	FOAM_DB
KO:K11229_2.7.11.1	HMMsoil435	FOAM_DB
KO:K11717,KO:K04487_2.8.1.7,4.4.1.16	HMMsoil436	FOAM_DB
KO:K00860,KO:K00955,KO:K00956_2.7.1.25,2.7.7.4	HMMsoil440	FOAM_DB
KO:K02013_3.6.3.34	HMMsoil354	FOAM_DB
KO:K01835,KO:K01840_5.4.2.2,5.4.2.8	HMMsoil355	FOAM_DB
KO:K10228	HMMsoil356	FOAM_DB
KO:K00689_2.4.1.5	HMMsoil357	FOAM_DB
KO:K02536_2.3.1.-	HMMsoil358	FOAM_DB
KO:K01658_4.1.3.27	HMMsoil359	FOAM_DB
KO:K01838_5.4.2.6	HMMsoil360	FOAM_DB
KO:K02030	HMMsoil361	FOAM_DB
KO:K02008	HMMsoil362	FOAM_DB
KO:K02032	HMMsoil363	FOAM_DB
KO:K05780	HMMsoil364	FOAM_DB
KO:K02554_4.2.1.80	HMMsoil365	FOAM_DB
KO:K00688_2.4.1.1	HMMsoil366	FOAM_DB
KO:K02768,KO:K11183_2.7.1.69	HMMsoil367	FOAM_DB
KO:K02057	HMMsoil368	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil369	FOAM_DB
KO:K01200_3.2.1.41	HMMsoil370	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil371	FOAM_DB
KO:K02768,KO:K08483,KO:K11183_2.7.1.69,2.7.3.9	HMMsoil372	FOAM_DB
KO:K01990	HMMsoil373	FOAM_DB
KO:K09687	HMMsoil374	FOAM_DB
KO:K02030	HMMsoil375	FOAM_DB
KO:K01692_4.2.1.17	HMMsoil376	FOAM_DB
KO:K09817_3.6.3.-	HMMsoil377	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil378	FOAM_DB
KO:K07678_2.7.13.3	HMMsoil543	FOAM_DB
KO:K01609_4.1.1.48	HMMsoil544	FOAM_DB
KO:K09666_2.4.1.-	HMMsoil545	FOAM_DB
KO:K02484_2.7.13.3	HMMsoil546	FOAM_DB
KO:K01999	HMMsoil547	FOAM_DB
KO:K00356_1.6.99.3	HMMsoil548	FOAM_DB
KO:K02056_3.6.3.17	HMMsoil549	FOAM_DB
KO:K09687	HMMsoil550	FOAM_DB
KO:K02013_3.6.3.34	HMMsoil551	FOAM_DB
KO:K02026	HMMsoil552	FOAM_DB
KO:K00971,KO:K01809_2.7.7.22,5.3.1.8	HMMsoil553	FOAM_DB
KO:K01768_4.6.1.1	HMMsoil554	FOAM_DB
KO:K01176_3.2.1.1	HMMsoil555	FOAM_DB
KO:K00872_2.7.1.39	HMMsoil556	FOAM_DB
KO:K03388_1.8.98.1	HMMsoil482	FOAM_DB
KO:K03778_1.1.1.28	HMMsoil483	FOAM_DB
KO:K01179_3.2.1.4	HMMsoil484	FOAM_DB
KO:K01776_5.1.1.3	HMMsoil485	FOAM_DB
KO:K00176_1.2.7.3	HMMsoil486	FOAM_DB
KO:K00873,KO:K00936_2.7.1.40	HMMsoil487	FOAM_DB
KO:K01120_3.1.4.17	HMMsoil488	FOAM_DB
KO:K08282_2.7.11.1	HMMsoil490	FOAM_DB
KO:K00756_2.4.2.2	HMMsoil491	FOAM_DB
KO:K01188_3.2.1.21	HMMsoil492	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil493	FOAM_DB
KO:K03040_2.7.7.6	HMMsoil494	FOAM_DB
KO:K02536_2.3.1.-	HMMsoil495	FOAM_DB
KO:K07675_2.7.13.3	HMMsoil496	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil497	FOAM_DB
KO:K00123,KO:K05299_1.2.1.2,1.2.1.43	HMMsoil499	FOAM_DB
KO:K01182_3.2.1.10	HMMsoil500	FOAM_DB
KO:K01178_3.2.1.3	HMMsoil501	FOAM_DB
KO:K00124_1.2.1.2	HMMsoil503	FOAM_DB
KO:K01529,KO:K01537_3.6.3.8	HMMsoil504	FOAM_DB
KO:K01182_3.2.1.10	HMMsoil505	FOAM_DB
KO:K01990	HMMsoil506	FOAM_DB
KO:K00381,KO:K00392_1.8.1.2,1.8.7.1	HMMsoil507	FOAM_DB
KO:K01997	HMMsoil508	FOAM_DB
KO:K00162_1.2.4.1	HMMsoil509	FOAM_DB
KO:K01895_6.2.1.1	HMMsoil510	FOAM_DB
KO:K01768_4.6.1.1	HMMsoil511	FOAM_DB
KO:K02010_3.6.3.30	HMMsoil512	FOAM_DB
KO:K00175_1.2.7.3	HMMsoil513	FOAM_DB
KO:K04441_2.7.11.24	HMMsoil515	FOAM_DB
KO:K08282_2.7.11.1	HMMsoil517	FOAM_DB
KO:K02000_3.6.3.32	HMMsoil518	FOAM_DB
KO:K00128_1.2.1.3	HMMsoil519	FOAM_DB
KO:K07646_2.7.13.3	HMMsoil520	FOAM_DB
KO:K01835_5.4.2.2	HMMsoil521	FOAM_DB
KO:K07304_1.8.4.11	HMMsoil522	FOAM_DB
KO:K00176_1.2.7.3	HMMsoil523	FOAM_DB
KO:K00529_1.18.1.3	HMMsoil524	FOAM_DB
KO:K00384_1.8.1.9	HMMsoil525	FOAM_DB
KO:K02536_2.3.1.-	HMMsoil528	FOAM_DB
KO:K01905_6.2.1.13	HMMsoil529	FOAM_DB
KO:K01187_3.2.1.20	HMMsoil530	FOAM_DB
KO:K01657,KO:K13497_4.1.3.27,2.4.2.18	HMMsoil531	FOAM_DB
KO:K04517_1.3.1.12	HMMsoil532	FOAM_DB
KO:K07516_1.1.1.35	HMMsoil533	FOAM_DB
KO:K13490,KO:K03407_2.7.13.3	HMMsoil535	FOAM_DB
KO:K02049	HMMsoil536	FOAM_DB
KO:K13788_2.3.1.8	HMMsoil537	FOAM_DB
KO:K00362_1.7.1.4	HMMsoil538	FOAM_DB
KO:K07651,KO:K07652_2.7.13.3	HMMsoil540	FOAM_DB
KO:K13529_3.2.2.21	HMMsoil541	FOAM_DB
KO:K13587_2.7.13.3	HMMsoil542	FOAM_DB
KO:K08884_2.7.11.1	HMMsoil453	FOAM_DB
KO:K04618_1.1.3.9	HMMsoil455	FOAM_DB
KO:K08832_2.7.11.1	HMMsoil457	FOAM_DB
KO:K03824_2.3.1.-	HMMsoil458	FOAM_DB
KO:K11594,KO:K12835,KO:K12858,KO:K12811,KO:K13982,KO:K01529,KO:K13116_3.6.4.13	HMMsoil460	FOAM_DB
KO:K14498_2.7.11.1	HMMsoil461	FOAM_DB
KO:K01711_4.2.1.47	HMMsoil462	FOAM_DB
KO:K02478,KO:K07704_2.7.13.3	HMMsoil463	FOAM_DB
KO:K01537_3.6.3.8	HMMsoil464	FOAM_DB
KO:K01768_4.6.1.1	HMMsoil465	FOAM_DB
KO:K01571,KO:K01960_4.1.1.3,6.4.1.1	HMMsoil466	FOAM_DB
KO:K00130_1.2.1.8	HMMsoil467	FOAM_DB
KO:K00001_1.1.1.1	HMMsoil468	FOAM_DB
KO:K00130_1.2.1.8	HMMsoil469	FOAM_DB
KO:K02489_2.7.13.3	HMMsoil470	FOAM_DB
KO:K02218,KO:K08960,KO:K00924_2.7.11.1	HMMsoil471	FOAM_DB
KO:K03388_1.8.98.1	HMMsoil473	FOAM_DB
KO:K02002	HMMsoil474	FOAM_DB
